"Date","Time","Open","High","Low","Close","Up","Down","CV","ZeroLine","Zero Cross","UpperBand","LowerBand","MidLine","VolROC","ZeroLine"
02/22/2021,19:07,232.76,232.78,232.58,232.62,21611,22901,-5.95,0.00,0.00,233.33,232.36,232.85,21.12,0.00
02/22/2021,19:08,232.61,232.75,232.58,232.65,17497,16319,-10.44,0.00,0.00,233.32,232.34,232.83,-52.73,0.00
02/22/2021,19:09,232.67,232.85,232.66,232.76,22381,16575,-18.28,0.00,0.00,233.30,232.34,232.82,-36.24,0.00
02/22/2021,19:10,232.75,232.75,232.54,232.57,26109,30427,-15.35,0.00,0.00,233.28,232.31,232.80,-55.40,0.00
02/22/2021,19:11,232.58,232.61,232.41,232.43,32532,38028,-11.55,0.00,0.00,233.17,232.32,232.75,4.99,0.00
02/22/2021,19:12,232.40,232.64,232.40,232.53,25166,22150,-7.90,0.00,0.00,233.07,232.35,232.71,-29.08,0.00
02/22/2021,19:13,232.54,232.68,232.41,232.57,26669,70709,4.27,0.00,0.00,232.95,232.40,232.68,26.08,0.00
02/22/2021,19:14,232.59,232.59,232.46,232.49,19943,22271,-5.85,0.00,0.00,232.86,232.43,232.65,-18.59,0.00
02/22/2021,19:15,232.50,232.65,232.50,232.55,18028,17621,-11.39,0.00,0.00,232.83,232.44,232.63,-37.82,0.00
02/22/2021,19:16,232.57,232.77,232.57,232.62,25522,12536,-7.91,0.00,0.00,232.83,232.43,232.63,-61.65,0.00
02/22/2021,19:17,232.62,232.83,232.58,232.83,29710,12693,-2.19,0.00,0.00,232.85,232.43,232.64,-29.45,0.00
02/22/2021,19:18,232.83,232.87,232.55,232.64,24268,30481,11.62,0.00,0.00,232.82,232.44,232.63,-19.89,0.00
02/22/2021,19:19,232.64,232.96,232.49,232.95,47006,31792,35.07,0.00,0.00,232.88,232.41,232.64,54.55,0.00
02/22/2021,19:20,232.94,232.98,232.86,232.96,18972,20578,20.33,0.00,0.00,232.93,232.38,232.65,3.58,0.00
02/22/2021,19:21,232.96,233.05,232.88,232.99,18037,20675,13.95,0.00,0.00,232.98,232.36,232.67,-13.03,0.00
02/22/2021,19:22,232.98,233.08,232.92,233.07,16907,26727,4.06,0.00,0.00,233.05,232.35,232.70,29.03,0.00
02/22/2021,19:23,233.06,233.10,232.97,233.08,18133,17689,-8.44,0.00,0.00,233.10,232.34,232.72,-8.04,0.00
02/22/2021,19:24,233.08,233.20,233.02,233.18,24038,23611,-2.99,0.00,0.00,233.18,232.32,232.75,-15.72,0.00
02/22/2021,19:25,233.16,233.19,232.89,232.90,16935,39643,11.52,0.00,0.00,233.19,232.32,232.76,-19.82,0.00
02/22/2021,19:26,232.89,233.10,232.76,233.08,25472,24100,22.43,0.00,0.00,233.23,232.32,232.77,4.77,0.00
02/22/2021,19:27,233.08,233.13,232.99,233.00,10320,15834,7.69,0.00,0.00,233.25,232.33,232.79,-73.14,0.00
02/22/2021,19:28,233.01,233.18,232.99,233.17,21998,16852,-4.76,0.00,0.00,233.30,232.33,232.82,-7.97,0.00
02/22/2021,19:29,233.17,233.26,233.05,233.11,28365,20120,-20.75,0.00,0.00,233.34,232.34,232.84,36.01,0.00
02/22/2021,19:30,233.12,233.23,233.00,233.16,15252,15925,-10.65,0.00,0.00,233.37,232.36,232.87,-18.08,0.00
02/22/2021,19:31,233.18,233.24,233.10,233.24,13203,7094,-11.59,0.00,0.00,233.39,232.42,232.91,-52.13,0.00
02/22/2021,19:32,233.20,233.25,233.17,233.18,11970,10137,-16.74,0.00,0.00,233.41,232.47,232.94,-59.62,0.00
02/22/2021,19:33,233.19,233.21,233.11,233.13,15199,13313,-17.49,0.00,0.00,233.41,232.52,232.97,-63.82,0.00
02/22/2021,19:34,233.11,233.25,233.09,233.22,16010,9017,-16.43,0.00,0.00,233.40,232.61,233.00,-36.72,0.00
02/22/2021,19:35,233.22,233.51,233.21,233.50,32822,21948,-12.28,0.00,0.00,233.45,232.65,233.05,41.48,0.00
02/22/2021,19:36,233.50,233.62,233.42,233.43,32148,23169,-19.77,0.00,0.00,233.47,232.71,233.09,26.77,0.00
